Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Final_Score
S001,Female,3,85,72,78
S002,Male,5,92,81,88
S003,Female,2,75,65,69
S004,Male,6,95,88,92
S005,Female,4,89,76,82
S006,Male,1,68,55,60
S007,Female,5,94,84,90
S008,Male,3,80,70,74
S009,Female,6,97,91,95
S010,Male,2,72,62,66
S011,Female,4,88,79,83
S012,Male,5,91,85,89
S013,Female,3,82,68,75
S014,Male,7,98,92,96
S015,Female,2,70,60,64
S016,Male,4,86,74,80
S017,Female,5,93,87,91
S018,Male,3,78,67,72
S019,Female,6,96,90,94
S020,Male,2,74,59,65
